booksGenreId,itemCaption
001028006003,近年、注目を浴び、様々な機会や場面での活用が広がってきている「ナッジ」。理論通りには動いてくれない人々の健康への一歩をそっと後押しするためのヒントが満載。さらに、行動の維持・習慣化のために、「ヘルスリテラシー」を掛け合わせる視点を提案。健康づくりにおける新たなアプローチを解説した、健康格差の処方箋ともいえる一冊！
001012010005,ルテインは光合成植物がみずからを守るために作り出した強力な抗酸化物質で、人の健康維持にも欠かせない。光による酸化ストレスに絶えず晒される眼には、高密度のルテインとその類縁物ゼアキサンチンが存在し、良質な視機能維持に加え加齢黄斑変性予防に重要な役割を果たすことが、高いエビデンスレベルの医学研究で証明された。同じく光に晒される皮膚の健康維持や脳に及ぼす作用から認知症予防効果も期待され、超高齢社会における健康寿命の延長に果たす役割は極めて大きい。そんなルテインの実力とケミンジャパン設立秘話を余すことなく記した待望の一冊。
001028006003,周産期ボンディング障害７つの典型事例をもとに、最初の面接、心理援助２つの基礎から支援・介入・治療の実践を学び、フレイバーグ、アンナ・フロイト、シュヴィングら３大必読文献をひもとき理解を深める。
001006004001/001006019003,本書は、コスメティック、ヘアケア、ヒーリングアイテム、製薬メーカー、病院、ドラッグストア、スパ、サウナ、ジム、ビューティサロン、ヒーリングスペースなどウェルネス関連ブランドが、魅力的な顧客体験を生み出すため、どのようにデザインを活用しているかを示すとともに、クリエイティブなインスピレーションを感じる世界中のプロジェクトを網羅した。
001015,
001028006003,国際的な保健協力が目指す「健康」とは何か。その実現のために、どのような法や制度が創出されてきたのか。「社会医学」と「生物医学」の対抗関係を軸に、現在の世界保健機関にいたるグローバルな「健康」体制のあり方を問い直す。パンデミックの時代に必読の書。ＷＨＯの前史から現代の感染症まで。
001008011004,世界トップクラスの実施数を誇るＡＲＴ（生殖補助医療）大国日本。しかしその出産率は世界最低位という現実がある。かたや日本の避妊と妊娠中絶をめぐっては、歴史的にも、また今日もなお、世界的に特異な状況が広がっており、女性労働の特殊な有りようとも関わってくる。これらをどのように理解すべきか？リプロダクティブ・ヘルス／ライツ理念を基軸に、少子化社会日本のタブーを問う！
001028007009,
001010010001/001010010002,
001028006003,世界の健康課題の解決のため、“地球規模での視点”と“パートナーシップ”が求められています。ポストコロナ時代におけるグローバルヘルス実践の新羅針盤！！
001010010001/001010010002,健康管理、生活習慣病、ホルモン、更年期障害、ＡＧＡ、ＥＤ、性感染症ｅｔｃ．手遅れになる前に知っておきたい人生１００年時代の基礎知識。医師が書いた健康管理の必読書。
001028006007,「ヘルスケア」×「データ」最前線の９５問。令和元年薬機法改正、令和２年・３年個人情報保護法改正ほか最新法令やガイドライン、通達、新型コロナをめぐる法規制にも対応。具体的な疑問をわかりやすく解説する必携書、待望の第２版！
001028006005,公式テキスト（第５版）に対応！出題傾向を押さえた吹出し解説付き。過去問題だけでなく、新しい内容に関する予想問題も豊富に掲載。コラムでは、実際のメンタルヘルスのケアやマネジメントに役立つ情報も！
001010002001/001028005001,ボンディング（ｂｏｎｄｉｎｇ）とは、「母親のわが子に対する情緒的な絆」のことであり、「ボンディング障害」は、不適切な養育のリスクとなり得る臨床的問題を抱えた、精神疾患を超えて広く妊産婦と子どもの育ちに関わる重要な概念である。今回本邦初の出版となる、「日本語版スタッフォード面接」は、妊婦と胎児の、そして産後の母親と赤ちゃんのさまざまな問題に特化した効果的な臨床評価面接である。この面接結果に基づいた妊産婦へのケアは、母子とその家族のメンタルヘルスにより有効に働き、長期的な子どものウェルビーイングの向上につながる。本書では、この面接を用いた事例を取り上げ詳細に解説しており、この面接法の理解に役立つ。また、その他の事例も通して、ボンディング障害を含めた周産期精神医学を包括的に学習できる。精神科医、産婦人科医、小児科医、助産師、看護師、保健師、公認心理師、臨床心理士、社会福祉士など幅広い専門家にとって、周産期メンタルヘルスの全貌を理解するための有効な知見を与えるものである。
001028001012,
001028005001/001028006003/001028009004/001028012002,
001010002001/001028001014/001028005001,
001009001010,いつでも９０切り。基本スイングと４つのスタンスだけで１０のボールを打ち分ける。
001028007009,
001028006005,公式テキスト（第５版）に対応！出題傾向を押さえた吹出し解説付き。過去問題だけでなく、新しい内容に関する予想問題も豊富に掲載。コラムでは、実際のメンタルヘルスのセルフケアに役立つ情報も！
001028006003,
001010010001/001010010002,
001015,
001008027,
001028006005,
001028006003,
001028006003,
001002001002,
001006018004/001006019005,
001010010001,人の心に寄り添い人間理解と援助を行うカウンセリングについて基礎から学んで実践の世界へと誘う入門書。
001001012/001006002/001006019003/001010011007,特殊プレイの秘密道具が…変態客たちのチン事件簿。現役ヘルス嬢のぶっちゃけトーク。エッチの仕事は大変です…。
001009001010,「ゴルフスイング」という概念を捨てる！体の自然な動き＋クラブの重みで筋力落ちても３０ヤードアップ。
001010010001,目まぐるしく変化し、少子高齢化が進行する現代。子どもを安心して育てられる社会のために、今、求められる変化とは？地域の子どもの成長、病、生き方、死の問題に教育、政策、研究を通じて取り組むパブリックヘルス（公衆衛生）。その専門家として世界で活動し、現在北欧に住む著者からの、希望を持てる、生きやすい未来をもたらすための提言。
001028006003,医療・ヘルスケア×デザイン思考＝ヘルスデザインシンキング！医療・ヘルスケア領域にデザイン思考を取り入れイノベーションを起こしていくための原則、メソッド、そして米国を中心としたさまざまな先駆的事例を詰め込んだ包括的ガイド。「デジタルヘルス」「ヘルステック」に欠かせないデザイン思考を、医療およびヘルスケアのコンテクストに合わせてわかりやすく解説。
001010002001/001016001003/001028005002/001028013004,
001028001003,
001009001010,パットのライン上の修復ＯＫ！準備できた人から打つこと可能にドロップは、膝の高さから！ウォーターハザード→ペナルティ・エリアｅｔｃ．２０１９年大改訂、Ｒ＆Ａ「Ｔｈｅ　Ｏｆｆｉｃｉａｌ　Ｒｕｌｅｓ　ｏｆ　Ｇｏｌｆ（ゴルフ規則．）．」準拠。
001028006003,自治体、健保、医療機関での人気講座を大公開！「何を、どのように伝えれば、行動を変えてもらえるのだろう」そんなお悩みを解決します。人を動かすには、コツがある。社会心理学、教育心理学、進化心理学、行動経済学、公衆衛生学の研究と実践から得られた、科学的根拠に基づく１０の原則で、徹底解説。
001001012/001021002031,
001028006005,
001028007009/001028009001/001028009002/001028012001,
001008012011,子どもと教師の“心の健康”を守るために。
001009001010/001009001013,シングルへの最短距離！たった２つのアプローチだけでいつでも９０切り。
001028006003,
001010010001,アルコールや薬物などの物質に対する依存、スマートフォンやインターネット、ゲーム、ギャンブルなどの行動への依存。生活面で大きな問題が起きて、やめたいのに、やめられない心の状態である「依存症」。この本は、依存症から心をときはなすためのひとつの手段としてヨガの瞑想を紹介しています。
001028019,
001009001010,バンカー、林、厄介なライー苦手が得意に変わる。ショットを打ち分け、いつでも９０切り。
001028001003,
001008012002,
001015,
001002001002,
001010010001,住宅、オフィス、薬局、モビリティ、そして街…あらゆる空間が変わっていく。新規事業創出のヒントがここに。
001028002005,
001006019001,
001001012/001006002/001006019003/001010011007,
001028006003,
001008012002,
001002001002,
001028007009,「暴力を振るわれて病室に行けない…」「点滴の滴下数が計算できない」「元気なのに出勤できない現代型うつ病」「どうしても時間処置を忘れてしまう」今どきはここまでやる！！具体的な介入方法を示した画期的なガイド本。
001010010001/001028019,
001028006003,
001010010001,
001001012,地味な私が風俗嬢になったのはご主人様の命令でしたー。心も身体もすべて解放できる場所ーそれが、風俗。現役ヘルス嬢が語る、風俗講習、夜のマナー、秘密の道具。コミックエッセイ。
001008012001,
001010002001/001028005001/001028012002,
001028006003,
001028006003,
001028019,
001028006003,
001028006003/001028012001,
001009001001/001010010001/001010010002,
001009001013,
001016001003/001028006003/001028013004/001028013005,
001018002004,
001028001011/001028005012,
001010010001,健康ブームが続くなか、日本では社会保障体制が揺らぎつつある。日本で、そして世界で、人びとの健康と医療を守る新たな社会システムの構築を考える。
001028006003,
001010010001/001010010002,貧血、免疫力低下、冷え症、肩こりなど日常の困った症状から、ＰＭＳ（月経前症候群）、更年期障害、痔、口臭、ＦＡＧＡ（女性型脱毛症）など人に聞きにくい体の脳みまで網羅！各症状に効くおすすめレシピも公開。
001002001002,
001028006003,
001028006005,
001009001013,
001010002001/001028005001,
001021002015,
001010010001,
001010010001,
001010010001,
001010010001,
001008003003,健康についての画期的な新理論。あなたを悩ませている症状にはすべて意味があります！メタヘルスとは、心・身体・社会生活の健康のこと。身体の知性に対する深い理解と信頼が、私たちに本来備わっている自己治癒力を高め、完全な健康と幸福を実現します。
001028005012/001028009005,
001010010001,
001002001002,
001009001010,飛んで曲がらない！ちょっとしたルーティンをするだけで、２０〜３０ヤードの飛距離アップ。
001010010001,毎朝スッキリ目が覚めて１日中調子がいい！医師が教える１日１分の「骨格コンディショニング」で成果を上げる！！その場で１２秒呼吸、その場で首伸ばし、その場で耳伸ばしーこれだけでＯＫ！！デスクで座ったままできる３つのメソッド。疲れ、だるさ、頭痛、首・肩こり、不眠、イライラを解消！！
001012010005,本書では、立上げのステップとやるべき基本業務を、図表や資料で示しながら、わかりやすく解説。ヘルス＆ビューティ業界参入への夢と成功を叶えるために役立つ。
001028006003,
001008003003/001010013004,人間は、単に肉体レベルだけでなく、心やスピリチュアルなレベルまで含めて、総合的に健康的であることが大切。生き方まで含めて、人を根本的に癒していく方法を、キネシオロジーやイメージなども使い「多層的に」語る本。
001028007009,
001028007009,
001010010003,
001010010001/001010010002,シンプルなコツが人生を豊かにする。最新の医学研究に裏付けされた、人生１００年時代を生き抜く新習慣。
001010010001,
001010010001,首、背中、腰、骨盤までをほぐす「四種混合体操」。オフィスで手軽に「座りネコ体操」。骨盤を整える「薪割りエクササイズ」。-全身のゆがみを解消します。
001028007002/001028007009,
001028007009,
001028006003,
001010010001/001010011006,
001009001010,覚えるのは２種類だけ！アプローチの達人になるために必要なことは、ボールを上げるための「ハーフショット」と転がすための「チップショット」の２種類のスイングをマスターすることです。上げるスイングは通常のショット、転がすスイングはパターのストロークと同じなのでとてもシンプルです。また、アプローチは飛ばすためのショットではありません。振り幅は「腰から腰」、「ひざからひざ」の２種類。あとは、打ちたい距離を楽に打てるクラブを選択するだけです。
001028003011,
001028006006,
001028006003,データがビジネスを駆動する現在、さらなるサービスの進化と利便性を推進するために、個人に関する情報は不可欠です。本書は、機微な個人情報を多く含むヘルスデータを題材に、プライバシー保護とデータ有用性という相反する命題をいかに満たすかについて、豊富な実例とともに解説する書籍です。リスクベースの非特定化方法論、横断的データ、縦断的イベントデータ、データリダクション、地理空間の集約、マスキングなどデータの匿名化に必要な事柄を網羅的に解説します。医療者はもちろん、個人のプライバシーを守りつつ、より洗練されたサービスを提供したいエンジニア、データ技術者必携の一冊です。
001002001002,
001010010001/001010010002/001010011011,正しい知識、食材の真実、成功の秘訣、厳選レシピー４つのカテゴリーで糖質オフ生活を成功へとご案内します。
001028006003,
001002001002,
001010010003,
001006021/001010010001/001010010002,いつもがんばっているあなたへ、毎日を快適にする７０の方法！！お悩み・不調をこれ一冊で解決！本書は、栄養学・心理学・脳科学などの学問的な裏付けのある情報の中から、はたらく女性のコンディション管理のために厳選した方法を、ギュッと一冊にまとめました。
001028013003,
001008012001,傾聴のスキルを身につければ誰でも利用者の真のニーズに寄り添うことができる！介護現場の様々なシーンで聴く技術が活かせる！介護現場の信頼関係を一瞬で築く基本！
001008012001/001028002011,基本方針の決め方は？どう進めたらいいの？看取りケアの方針の説明と意思確認の仕方とは？看取りケアにはどんな医療行為が必要？他の施設等との連携はどうする？看取りケアのこれからの課題は何？たった１回のケアである“看取りケア”には何が求められているの？介護現場で「あなたが取り組む」看取りケアの進め方・実践入門教科書。
001006009003/001006021/001010010002,自己責任時代の三大自己投資は、勉強、お金、そして健康だ！ビジネス書をこよなく愛す気鋭の熱血医師が同世代の若きビジネスパーソンにおくるバリューアップ・ストラテジー。
001028019,
001028007009,今回の改訂においては従来のゴードンの１１の健康的機能パターンで対象者の情報を捉える方法に加え、看護界に大きな影響をもつマズローの基本的欲求の階層の理解とヘンダーソンの基本的看護の視点から「フィジカルアスセメント」を、より看護援助とどのように結び付けていくかという章を加えた。対象者のニードから必要な看護援助を導き出すヘンダーソンの理論で、事例を展開した場合にどのような方法を辿るかについても、説明を加えている。
001002001002,
001010010001,
001010011001,
001008012001,今日も問題だらけの職場をちょっとだけ働きやすい環境に整える、ヒント・コツ・課題解決ノートーあなたが始める、現場改善・働きやすい職場づくりのヒント集！！
001009001001/001009001013,体が軽くなる！１２のメソッドが効く。１日たった３分のエクササイズで、体が２０代の若さを取り戻す！
001002001002,
001010010001,うつ病、パニック障害、完全脱毛、動眼神経麻痺などが治った…。お手玉をすると治る…。「病気の出口より健康の入り口へ」そして「脳を整えて、心を整えること」が大切とするヘルスアート療法の実践集。
001010011001,
001028006005,
001010010001/001010010002,本書は、理論と実践を並置するというユニークな方法と、明快かつ丁寧な説明で、アレクサンダー・テクニークを紹介。日常生活に、アレクサンダー・テクニークを取り入れる方法を解説。専門用語を使わず初心者でもアレクサンダー・テクニークを理解できる、わかりやすいアプローチを実現。
001010010001/001028001003,
001010010001,
