booksGenreId,itemCaption
001010010001/001010010002/001020014,五感を癒やして呼吸を深める。不調なときほど深く呼吸する。まずは就寝前に「１対２の呼吸」。「ゆっくり呼吸」で腸内環境が良好に。散歩はゆっくり、リズミカルに。貧乏ゆすりでストレスを逃す。不安の９５％は起きないと知っておく、ほか。生きにくい時代に心と体がラクになる超シンプル習慣！自律神経研究の第一人者による“整える極意”。自律神経を乱す原因となる他人への「期待の捨て方」から、自律神経のメカニズム、整えるうえでもっとも効果的な呼吸法を解説。日頃から意識したい整える習慣や、仕事の中で実践できる手軽な健康法なども紹介する。
001010010001,「腸のクリーニングスープ」「腸元気体操」など、すごい腸活法を紹介。
001028006003,
001002006003,
001010010001/001010010002,
001010010001/001010010002,力を入れた筋肉を伸ばす運動で若返る！簡単！家でできる！１回５秒！すべての動きを動画で確認できる！椅子座り、かかと下げ、片ひざ押し、胸伸ばし、お腹伸ばし、片ひじ伸ばし、片ひじ曲げｅｔｃ…
001023007,
001010010001/001010010002,
001023007,
001010010001/001010010002/001020002/001020010,その不調、まずは、お腹を温めてみませんか？お腹→全身→体温ＵＰ！→免疫力ＵＰ！→代謝ＵＰ！
001006006002/001008011005/001016008003,
001010010001/001010010002,
001006019003,ウェルビーイングで、これまでのビジネスが１８０度変わる！身体的な健康をゴールとした「ヘルス」から、身体と心の健康を目指した「ウェルネス」を経て、より自分らしく生きることを目指す「ウェルビーイング」の時代へ。“生活者のウェルビーイングをどう実現するか”-新たな時代を生き抜くための、生活者視点のマーケティングを解説する。
001010011001/001010011006,
001010010001,
001020002/001020010,
001023007,
001010010002/001010016/001022001,
001023007,
001010010001/001020010/001028001003,腸内細菌はこれまで私たちの健康の味方と考えられてきた。しかし最新の研究で、現代人の食生活の乱れ、ストレス、抗生物質の乱用などによって腸内細菌が異常に増え、腹部の張り、ガス、下痢や便秘を招く小腸内細菌増殖症＝ＳＩＢＯが発症することがわかってきた。現在、１７００万人もの日本人が原因不明のお腹の不調に悩まされている。慢性的な疲れ、だるさ、集中力の低下、がん、動脈硬化、心不全、肝不全などあらゆる症状や病気につながるＳＩＢＯを予防・改善するための食事・生活習慣と最新療法を、腸のスペシャリストがくわしく解説。
001009001013,健康づくりのためには、体づくりが欠かせない。本書では、健康づくり・体づくりの観点から、日常に取り入れたい＆知識として身につけておきたいトレーニング＆食事の方法やヒントを収録。また、巷にあふれている誤った情報や、まかり通っている“神話”についても言及していく。
001023007,
001015,
001008018/001020014,
001028006003,
001023007,
001010010001/001010010002,
001010010001/001010010002,
001010010001/001010010002/001020002/001020010,これさえ知っていれば、もう朝がこわくない！すぐに効果が上がる疲れ解消のコツを紹介。あなたの「疲れ度」がわかるチェックリスト付き。
001010010001,野菜１日３５０ｇ以上食べていますか？野菜をとる意味とこつ、今ここまでわかっています。
001015,
001010010001/001010010002,
001010006001/001016008003,年金・健康保険・雇用保険・退職金・税金・働き方で損しない！定年前・定年時・定年後・年金暮らしでやること丸わかりマップ。
001010010001/001010010002/001028001007,細菌はとても身近な存在だ。人の体には何兆もの細菌がすんでいる。細菌とうまく付き合い、善玉菌を強化し、人によって異なるマイクロバイオームを最良の状態にするには、どうすべきか。細菌についてしっかり知りたい人のための１冊。細菌の種類やはたらき、細菌の利用などの基本を解説。細菌が多くいる体の部位ごとに代表的な細菌や過剰な場合と抑制された場合などの問題を詳しく紹介する。さらに、細菌の研究でわかってきた細菌が及ぼす多様な影響、これからの抗生物質やワクチンの利用などにも言及する。
001010002001/001010010001,月経、妊娠、更年期…女性のあらゆるヘルスケアをテクノロジーの力でサポート。市場が拡大し続ける「フェムテック」が社会に果たす役割とはー産婦人科の専門医が拡大する市場に潜む問題と、秘められたビジネスチャンスを明かす。
001010010001/001010010002,
001010010001,虫歯・歯周病・口臭・噛み合わせ…「病気にならない」ヒケツは歯が９割！
001015,
001023007,
001010015,
001009005/001010010001/001010010002,此れで健康寿命が延びて社会にも役立つ！運が良くなる！ナンバ歩きを始め、日本人が昔から実践してきた方法。
001010010001,
001028006003,
001010002001,発熱、けいれん、湿疹、アレルギー、やけど、予防接種、発育の悩みー「はじめて育児」の不安やギモンすべて解消！年間３０，０００人の子どもを診る小児科医が書いた「ママ・パパ向け家庭の医学」。ひと目でわかる！「病気かも？」フローチャート＆緊急性チェックリスト付き。
001023001,
001010010001/001010010002,「健康で長生き」を目指すために。モテたい、お金を貯めたい、褒められたい。“不純な動機”が長寿を作る。型破りな医師が実体験をもとに元気の秘訣を語る、自伝的エッセイ。
001010010001/001010010002/001010011011,科学的根拠にもとづいた最強の食材＆食べ方ガイド。がん予防や健康長寿まで情報満載。
001009008003/001010010002,
001008011008,愉しい老後ライフを手に入れる心構えと知恵。老後資金、年金、雇用保険、介護、認知症、趣味、リカレント教育。老後ライフを快晴にする必修ポイントが満載！
001028005013/001028013002,図、表、画像が満載！要点がわかる！
001008010,
001008012001,シニアの若さの秘訣は元気と笑顔！「だるまさんストレッチ」「ホップ・ステップ・ジャンプ」などの楽しい体操で、しゃべらずに座ったまま、誰でも笑顔で効果的に運動できます。シニアお一人でもお使いいただけます。２色刷り。
001010010001/001010015,
001028006003/001028012001,
001028006003,
001010010001,
001015,
001028006003,
001010010001,野菜を食べて腎臓の血管を守る、減塩３ステップ方式で腎機能を改善、たんぱく質を調整して腎機能を維持する、１０分歩くだけでも腎機能改善に効果的、体重・血圧チェックで改善効果を「見える化」、腎機能に悪影響を及ぼすタバコはやめるｅｔｃ．腎機能を改善し、末期腎不全を防ぐ生活術４０。
001010010001,２５年間、企業の健康経営を支援・推進してきた著者だからわかる実践的手法。働く人の安全と健康を増進することで企業の生産性や価値を高める方法を公開！１０年後も勝ち残り、選ばれる組織づくりができる。
001010010001,「やせ」より「小太り」のほうが長生き。低栄養が心血管病の引き金になる。粗食は老化を促進させる。知っておきたい新しい「健康常識」。年齢によって栄養のとり方は変わる！おいしく食べてフレイルを防ぐ！多様食に役立つカンタンレシピを紹介！
001008012002/001008012004,「ＤＣＤ」という発達障害を知っていますか？極端に手先などが不器用で、スポーツも苦手。本人が努力しても、親がどんなに教えてもうまくできない。そのような子どもたちは「ＤＣＤ：発達性協調運動障害」のある子どもなのかもしれません。
001010011001,誰でも簡単！自然療法の大家、東城百合子先生に学んで４２年、８０歳名物講師の初のレシピ本、遂に完成しました！これほどウマい自然食料理、今までにあった？おいしくて細胞がシャンとする料理と知恵が満載！
001023001,
001028006003/001028012001,
001008011010/001010010001/001010010002,検診、手術、抗がん剤治療が盛んなのに、なぜ、４０年以上も日本人の死因第１位はがんなのか？ワクチン接種回数（１００人あたり）が世界一なのに、なぜ、コロナの流行が繰り返し起きたのか？新型コロナのワクチン接種がスタートして以来、なぜ、毎月の日本の死亡数が前月を上回り続けているのか？私たちを「健康不安」の“ワナ”に陥れる「やまい」にまつわるウソを一刀両断！！
001010010001/001010010002,「健康で長生きする」には、どうすればいいのか？究極の命題にＣＮＮの主任医療特派員が挑む。ロシア、沖縄等々、世界中を取材した知見を網羅。がん、記憶力、サプリメント、体力など、気になる問題を徹底解説。目からウロコ、読んで楽しく、実践して体に効く名著、ついに邦訳！
001028006003,
001010010001,健康維持のためには必要な栄養素を過不足なくとり、適塩を心がけたいものです。本書では朝、昼、夕食合わせて４６献立を紹介するほか、主菜２０品、主菜兼主食２０品、副菜２８品、汁物１２品、おやつ８品など単品料理も充実しており、好みに合わせた献立アレンジが自由自在にできます。低エネルギー＆適塩でも満足できるテクニックや、バランスのよい献立の立て方が身につく一冊です。
001010010001,
001028006003,
001008012001,
001028016008,
001023007,
001009001013,
001010011001/001010011006,
001009014,日頃の小さな工夫から、気力と体力を作る習慣を身につける。プロダンスインストラクターの著者が、ダンスをはじめとした運動の取り組み方や暮らしのヒントを川柳で紹介したエッセイ。
001010010001/001010010002,
001008011001,
001028001003,
001008027/001023008,
001010010001/001010010002,
001010010001,おいしくて大満足１４７レシピ。
001002001001/001003007,
001010010001/001010010002,
001008011008,
001009007006/001009014/001010010001/001010010002,６０日分の認知機能を鍛えるパズルで、楽しく脳を活性化！運転時認知障害早期発見チェックリストで、あなたの「運転脳」の衰え度をチェック！運転免許認知機能検査の模擬テストで、免許更新対策！日本認知症予防学会の理事長に聞いた“科学的に正しい”方法で、認知症対策！本書と一緒に、今日からいきいき健康生活、始めましょう！
001009001013,１章から９章は、試験出題範囲である、健康運動実践指導者養成用テキストに対応。分野別に学習できる。重度良問をえり抜きで収録。分野別１６０問＋模擬試験４０問×２回＝２４０問。周辺知識にも触れた豊富な解説量。「理解しながら」勉強できるので、解く力が「ぐんぐん」伸びる。
001009001013,
001009001013,
001010010001/001010010002/001010011006/001010014002,ダイエット、不調解消、若返り、免疫力アップーからだにいいこと＆お得なこと満載。「栄養素」のしくみと働きが２時間でわかる！即役立つ！ながめるだけ！一番やさしい栄養学の入門書。
001017004,シュウヤの邸宅に、懐かしい顔ぶれであるザガ、ボン、ルビアたちがやってきた。その流れで、庭で大宴会を開くことを思いついたシュウヤは、自らが裏で率いる闇ギルドのメンバーや、女槍使い・リコや歌姫シャナをはじめ、縁がある人々を屋敷に呼び寄せる。盛り上がるお祭りムードの中、愛しい女たちとも心を交わしていくシュウヤ。その後、吸血鬼の美少女・ヴェロニカの心を救って眷属とした彼のもとに、新たなトラブルの知らせが！美女たちとの恋愛エピソードや魚人海賊との激闘、幼竜バルミントの成長などを交えて綴られるシリーズ第１９弾！
001008003003,
001010010001,
001010010001/001010010002,東洋医学、西洋医学、スピリチュアルなど、あらゆるものをすべて試して辿り着いたのは、やはり“脳”だった。すべて脳の使い方（思考パターン）が原因だった！
001028006003,
001006006002/001008011005,
001008003003/001010010002,
001012011,
001010010001,病気にならない体は、こうしてつくる！オーソモレキュラー医学にもとづいた栄養指導で、奇跡をなんども起こした医師は、普段何を診ているのか。この一冊で、クスリいらず、医者いらず！
001010010001,動悸・不整脈・胸の痛み・心筋梗塞…心臓にまつわる不安が消える！
001009009009/001010010001/001010010002,
001010010001,元気で長生きのカギは「正しい心臓ケア」！１冊で全部わかる！
001028006003,
001010010002/001028006003,
001017004,
001028006003,
001008003003,つながると地球は癒してくれます！アーシングすると、血液の粘度が低下し、血圧も正常化。脳波パターンがリラックス、筋肉の緊張が低下、痛みが取れる。気分も軽くなる。心血管機能が向上、臓器の血流と酸素の巡りが改善、ホルモンバランスが正常化、血糖値安定、睡眠が深まり、炎症が減少、体は治癒に向かいます。
001028007009,
001028006003,
001028006003/001028012001,
001010010001,むし歯、歯周病、口臭は放っておくとヤバイ！？お口の悩みは「認知症」や「糖尿病」の原因だった。東京医科歯科大の研究チームが監修！歯の最新知識が一冊に！
001023001,
001004008007,幼いころから聖女の役目を押しつけられ、神殿で孤独に生きていた病弱な王女プラティナ。過酷な生活のせいで「余命わずか」と宣告されたのち、聖女の地位と婚約者を奪われ、「聖地巡礼」という名目で国を追放される。厄介払いとして旅の従者を押し付けられた黒騎士アイゼンもまた、不条理な呪いに犯されていた。不運な二人の旅は前途多難…かと思われたが、余命わずかだったはずのプラティナはなぜか日々健康になっていく。しかも行く先々で聖なる力で問題をさくっと解決し、いつの間にか『奇跡の聖女』噂になってしまい…？無自覚聖女と不愛想黒騎士のチート巡礼旅！
001008004001/001010013003,ビジネスパーソンの成功の大きな要素は、健康管理。本書では、業務効率化と健康の２大要素をリンクさせ、ビジネスパーソンの生活全般の質の向上を目指します。この１冊で皆さんのさまざまな問題の解決に挑戦します！
001010010001/001010010002,
001008003006,予防、教育、コミュニティへの接近。心理専門職の社会的役割とは。専門職として活動するための知識と技能を体系的に解説する。
001023007,
001010010001/001010010002,症状別！こころとカラダに効く漢方薬の選び方も解説！ストレス、自律神経の乱れ、内臓脂肪、高血圧、免疫力、健康診断の数値も改善！自宅ですぐできる不調解消法！
001010010001,子どもの摂食障害に悩む保護者、先生へ。太る恐怖、飢餓がまねく食への執着、過食の衝動…。原因、経過から治療法、家族の接し方まで徹底解説！
001006010001/001006010002/001006018002,
001028006003,
001010010001/001010010002,睡眠・食事・運動・入浴…ほんの少し意識を変えるだけで、病気のリスクが劇的に下がる！毎日の体調が変わる！仕事のパフォーマンスが上がる！ＵＣＬＡ准教授・医師の著者が世界の質の高い論文１７５本を元にまとめた、黄金の健康のルール。
001016005002/001028006003,
001008012002,園でトイレに行けるようになるには？外あそびや体を動かすあそびを嫌う。健康に関するギモンや困りを３０のＱ＆Ａで解決！引っ越しあそび、ひょうたん鬼。体を動かしながら、夢中で楽しめるとっておきの運動あそびを２０収録！
001008004001/001010013003,幸せに気付く事ができる＝幸せを感じて生きられる。現在（２０２２年）８８歳の現役音楽専門家が、自身の人生体験の実践を通して、幸せづくりの道を説く。
001023001,
001001012,
001016005002/001028006003/001028013010,
001010010001/001010010002,寒さ刺激でミトコンドリアを活性化すれば免疫力が上がり病気を防ぎ若返る！いつまでもイキイキと健康に美しく生きる方法。
001008012002,
001008027/001020014/001023008,
001009001013/001028002007,
001008011004/001010001003,「ＬＧＢＴ」「セクシュアル・マイノリティ」という言葉が日本の文脈で広まっていった過程でとりこぼされてきた問題を掘り起こす試み。クィア・スタディーズの現在地を知るためのシリーズ第３巻。エイズ問題を発端として登場したクィア・スタディーズと障害学が出会い、新たにひらかれる議論とは？
001008012001,
001010010001,ピノレン酸とスパンの大発見史。広島での原爆体験から終始“健康問題”に関心を寄せた著者は、松の種子の実から“オイル”、その殻から“エキス”を抽出し、抗ウイルス・抗ガン・抗アレルギー作用を実証する！
