booksGenreId,itemCaption
001005005011,Ｐｙｔｈｏｎ３．ｘによる最新の開発環境に完全対応。知識ゼロでもわかるイラスト＆サンプル満載の解説。オブジェクト指向の考え方をしっかり理解できる。Ｗｅｂアプリ開発やデータ処理の基礎もわかる！
001005005001/001005017,中学数学でＰｙｔｈｏｎを極める。プログラミングはやさしい数学から。直線とグラフでＰｙｔｈｏｎを学習。直線がわかれば分析も予測もできる！機械学習、データ分析への第一歩。カンタンな数式でプログラミングを学ぶ。
001005005001/001005017,
001005005011/001006018002,Ｅｘｃｅｌの請求書を自動作成、請求書のＰＤＦ化、請求先へのメール送信も自動化！初心者でも大丈夫！業務にも役立つ実践的な知識とノウハウをサンプル作成を通してマスターしよう！
001005017,パソコン不要！約５００問。
001005017,大学入試、就職＆資格試験、開発現場で差がつく王道アルゴリズムを基礎からやさしく解説。入門から学び直しまでをこの１冊で。
001005017,
001005017,楽しいサンプル、わかりやすい例えとイラスト。トコトン丁寧な説明で、基礎からしっかり学べます。プログラミングがはじめてでも大丈夫。画面に打ち込む手順から、プログラムのしくみまでやさしく説明します。
001005005011/001012002,
001005017,
001005017,豊富なカラー図解とイラストで超わかる！プログラムの「読み方」「書き方」「しくみ」「動かし方」を根本から理解し、作りながらしっかり学べる、すべてのビギナーに最良の入門書！
001005005011/001005017/001006005,Ｐｙｔｈｏｎで実現する効率的トレード。自動売買の基礎を習得し、機械学習、深層学習を用いてマーケットの動きを予測。
001005005011/001006018002,単純だけど時間がかかる作業は、自動化しよう。
001005017,本書は話題となっているプログラミング言語の１つ「Ｐｙｔｈｏｎ」の入門書です。Ｐｙｔｈｏｎは人工知能やデータサイエンスの分野で使われ、注目されています。この書籍は、はじめてプログラミングを学ぶ人に向けています。プログラミングの「なぜ」を解決できるようわかりやすさを重視した解説をしており、Ｐｙｔｈｏｎのスタンダードな知識を身に付けることができます。はじめてプログラミング言語を学ぶ方、Ｐｙｔｈｏｎを学習したい方におすすめの１冊です。
001005005001/001005017,プログラミングの初心者でも、シミュレーションやデータ分析の基礎までを最短で身につけられる。プログラミング言語の研究者が書いた新しいタイプの入門書。
001005017,読む＋解くでしっかり身につく！あなうめ問題を解きながら、いちばん大切なプログラミング力を育てる！！基礎から身につく。手を動かして学べる。初心者歓迎！
001005005011/001005017,問題解決のための基本や手順をゲームプログラミングで学ぼう！
001005017,Ｐｙｔｈｏｎの基礎知識はあるけど、「アプリ開発って初心者には難しそう」「プログラムで何か残るものを作ってみたい」と思っていませんか？本書はそうした方に向けて、初心者にも簡単に作れる方法を使ってデスクトップアプリ開発の基本をやさしく解説します。アプリの作り方の基本からはじまり、計算アプリ、時計アプリ、ファイル操作アプリといった日常生活でも役立つアプリや、ゲームアプリといったわくわくするアプリ作りまで体験できます。
001005017,作って学ぶ。手で覚える。ディープラーニングを理解するための最善の方法は、ディープラーニングをゼロから実装することです。
001006018002,プログラミング系ＹｏｕＴｕｂｅチャンネルとしては国内最大級の１３万人の登録者数を誇るキノコードを書籍化！Ｅｘｃｅｌでの単純作業やＷｅｂスクレイピングなど、ビジネスワークフローの自動化をＰｙｔｈｏｎが初めての方でもわかるようにやさしく解説。Ｐｙｔｈｏｎプログラミングの基礎から、データ分析用ライブラリＰａｎｄａｓの使いかた、自動化の具体例までＹｏｕＴｕｂｅと連動して説明します。
001005005011/001005017,本書は、「Ｐｙｔｈｏｎ文法や基本テクニック」「目的別テクニック」「プロジェクトレベルの実践」の３つのパートに分かれています。これら３つのテーマはＰｙｔｈｏｎプログラマーに必要な知識と技術であり、本書では豊富なサンプルを頼りに、その基礎的な部分から実践までを総合的に学ぶことができます。入門レベルを終了した方や、他言語プログラマーから入門する方などにとって最適の一冊です。
001005017,Ｐｙｔｈｏｎプログラミングを全力で学ぶならこの１冊！Ｐｙｔｈｏｎをこれから学ぶビギナーから、基礎力を得て現場で実践したい方まで、確実なスキルアップをはかれます。
001005017,
001005017,ビジネスに欠かせないプログラミングの基本スキルが学べる！人工知能で注目の言語、Ｐｙｔｈｏｎを初歩から解説。書き方から実行手順までステップ・バイ・ステップ。条件分岐や繰り返しなどの必須構文を着実にマスター。ネットの情報を自動取得、Ｗｅｂスクレイピングの基礎。手書き文字を認識する機械学習をゼロから体験。
001005017,
001005017,秘密のメッセージを作成、送信するために使われる暗号アルゴリズムを作ったり解読したりしながら、Ｐｙｔｈｏｎでプログラミングする方法を学ぶ。Ｐｙｔｈｏｎプログラミングの基本講習のあとで、転置式暗号やヴィジュネル暗号のような古典暗号を使ってテキストを暗号化するプログラムを作成する方法、検証する方法、ハッキングする方法。逆暗号やシーザー暗号のためのシンプルなプログラムから始め、電子署名や、電子メール、ビットコインを含む今日のオンライン取引の安全性を確保するために使われる暗号化形式である、公開鍵暗号までを学習。
001005017/001006018002,入力、転記、集計、分析、書式設定、出力…ＰｙｔｈｏｎできればＥｘｃｅｌが楽になる！何百回のコピペをゼロに。プログラミング初心者でも大丈夫。Ｐｙｔｈｏｎに自動化してもらおう！
001005017,実用的なプログラムがつくれるようになると、Ｐｙｔｈｏｎはもっと楽しくなる。ライブラリを活用して、本格的な開発をはじめよう。
001005005011/001005017,単純で面倒なパソコン業務はパイソンがやってくれます！楽して時短＆業務に役立つ。プログラムにすべてお任せ。知識・経験ゼロでも大丈夫。サンプルコード満載です！
001012002,プログラミングで実践しながら統計学を解説。ＲとＰｙｔｈｏｎを比較することでそれぞれの特徴を紹介。
001006008002/001006018002,データ活用プロジェクト成功のカギは、「仕組化を意識した、継続性のある小規模システム」！データの加工から可視化・機械学習モデルの構築と評価、レポーティングの実施。最終的には、継続的なデータ更新を想定した「機械学習システム」を構築！データ加工（Ｐａｎｄａｓ）／可視化（Ｍａｔｐｌｏｔｌｉｂ、ｓｅａｂｏｒｎ、ＯｐｅｎＰｙＸＬ）／機械学習（ｓｃｉｋｉｔ-ｌｅａｒｎ）を練習。現場で活きるデータ活用！
001005003001/001005005011/001005017,情報セキュリティ技術者の必携書がＰｙｔｈｏｎ３に対応して大幅改訂。本書ではＰｙｔｈｏｎを使ったサイバー攻撃手法について解説します。基本的な通信プログラムからＰｒｏｘｙやＲａｗデータ、Ｗｅｂアプリケーションへの攻撃やトロイの木馬の動作、そしてフォレンジック手法やＯＳＩＮＴまで、攻撃者の実践手法から防御方法を学びます。日本語版オリジナルの巻末付録として「Ｓｌａｃｋボットを通じた命令の送受信」「ＯｐｅｎＤｉｒのダンプツール」「Ｔｗｉｔｔｅｒ　ＩｏＣクローラー」を追加収録しました。
001005017,
001005005011/001005017,機械学習の仕組みから周辺技術まで、豊富な図解と実践的なサンプルで学べます。ｂｏｔに機能を追加しながら進むため、機械学習の基礎を楽しく学べます。勘違いしやすい箇所は講師がフォロー。ワークショップ感覚で読み進められます。
001005017,春沢進は、マーケティング系のゼミに所属する大学３年生。ゼミで以前より惹かれていた秋山鈴と同じグループになり、一緒に課題に取り組むことに。お調子者の進は、鈴にかっこいいところを見せようと、少しだけ自信のあるパソコンスキルでがむしゃらに課題を進める。そして、家庭教師先の生徒である中学生の天美から、「プログラミングで解決したほうがＣｏｏｌだよ！」と言われ、Ｐｙｔｈｏｎを始める。しかし肝心の鈴は、心ここにあらずの様子。進は、Ｐｙｔｈｏｎで鈴を振り向かせることができるのか…！？
001005017,手を動かしてプログラムをどんどん作る！挫折しやすいエラーを徹底フォロー！たくさんの実習問題で理解度アップ！人気の研修コース「Ｐｙｔｈｏｎ入門」を書籍化！
001005017,Ｐｙｔｈｏｎの機械学習用ライブラリの定番、ｓｃｉｋｉｔ-ｌｅａｒｎのリリースマネージャを務めるなど開発に深く関わる著者が、ｓｃｉｋｉｔ-ｌｅａｒｎを使った機械学習の方法を、ステップバイステップで解説します。ニューラルネットを学ぶ前に習得しておきたい機械学習の基礎をおさえるとともに、優れた機械学習システムを実装し精度の高い予測モデルを構築する上で重要となる「特徴量エンジニアリング」と「モデルの評価と改善」について多くのページを割くなど、従来の機械学習の解説書にはない特長を備えています。
001005017,Ｐｙｔｈｏｎは文法が理解しやすく、初心者が取り組みやすいプログラミング言語です。データ分析やＡＩプログラミングでは第一に利用が検討される言語でもあり、ぜひ本書を活用して次のステップへと進んでください。
001006005,株初心者プログラマーのためのＰｙｔｈｏｎを活用する株式運用入門！
001005005011,コードが読めればプログラミングは楽しくなる！！基本をしっかり。目指したのは「究極のやさしさ」。登場するコードに「ふりがな」を。さらに「読み下し文」でフォロー。
001005017,数理・データサイエンス・ＡＩ教育プログラム認定制度（リテラシーレベル）に準拠。ていねいな解説と豊富なＰｙｔｈｏｎ演習で実践的なデータサイエンスの力がつく。１４章の構成で半期１コマの講義に対応、文系理系を問わず初学者に最適。
001005017,
001005005011/001005017,プログラミング学習書を読んではみたけど、ちょっと難しかった…そんなあなたを「基礎の基礎」から後押しします。本書では１週間で、プログラミングが動くコンピュータのしくみの理解から、簡単なプログラムが書ける力を手に入れられるようになるまでをサポートします。
001005017,ＣＳＶはもう捨てた。データの海にいざゆかん！データ構造を制するものがＰｙｔｈｏｎを制する。「このＣＳＶ／ＴＳＶファイル、ＪＳＯＮにならん？」と言われたら…。ＱＲコード⇔ＪＳＯＮデータ自由自在。
001005005001/001005017,だれでも、はじめてでも、ゲームが作れる！エラーなんか怖くない！作って動かす楽しさを体験しよう！伝説のゲームマンガでプログラミングが身につく！
001005006003/001005017,ＰｙｔｈｏｎでＥｘｃｅｌを操作できる「ｏｐｅｎｐｙｘｌ」ライブラリの使い方を逆引き方式で解説！「ワークブック」「ワークシート」「セル」「データ操作」「グラフ」「その他」のカテゴリで「ｏｐｅｎｐｙｘｌ」ライブラリの機能がよくわかる１冊！
001005017,Ｐｙｔｈｏｎプログラミング＋多彩なアプリ作成＋ライブラリ活用。Ｐｙｔｈｏｎの基礎から高度なプログラミングへの道筋までしっかりわかります！
001006024,ブロックチェーンのしくみと基礎がわかる！Ｊｕｐｙｔｅｒ　Ｎｏｔｅｂｏｏｋ対応。
001005017,Ｐｙｔｈｏｎ入門書のデファクトスタンダードが４年ぶりに大改訂。近年、Ｐｙｔｈｏｎの利用が、機械学習、ＡＩなどの科学技術分野へ大きく広がっている現状を踏まえて、細部にわたり加筆、修正した。
001005017,
001005017,「必修編」では、プログラミング環境の用意、基本的なプログラムの書き方に始まり、リスト、辞書、クラス、関数といった基礎的な知識からエラー処理、テストコードの書き方までを演習問題を交えながら、わかりやすく解説します。随所にプログラマーとしての心構えなども触れられており、読みやすく整理されたコードの書き方も身につきます。これから初めてＰｙｔｈｏｎを学ぶ人も、学び直したい人も、必読の書籍です。Ｗｉｎｄｏｗｓ・Ｍａｃ・Ｌｉｎｕｘ対応。
001005017,プログラミングの考え方と表現の仕方を身につける。株価分析、暗号解読、対戦ゲーム、婚活パーティでのカップリングなどの豊富な事例で、考え楽しみながら学ぶ入門書。初心者はもちろん、再入門者・ステップアップを目指す人にも。
001012002,理論と実践のどちらにもフォーカスを当て、ＡＩや機械学習について「ある程度、中身を知って使える」を目指す入門書。Ｔｗｉｔｔｅｒ　ＡＰＩや国の統計データなど、生のデータを使い、遊んでいるような感覚で理解が進む１冊！
001005005011/001006008002/001006018002,大好評の書籍が“朝練”“放課後”を追加されリニューアル！！これがリアルなデータ分析だ！君は「汚いデータ」を処理できるか？事前の加工（視覚化）から機械学習、最適化問題まで。-ビジネス現場で即戦力になれる「応用力」を身につけよう！練習するライブラリ：Ｐａｎｄａｓ／Ｎｕｍｐｙ／Ｍａｔｐｌｏｔｌｉｂ／ｓｃｉｋｉｔ-ｌｅａｒｎ／Ｎｅｔｗｏｒｋｘｓ／ｐｕｌｐ／ｏｒｔｏｏｌｐｙ／ｏｐｅｎｃｖ／ｄｌｉｂ／／ＭｅＣａｂ。
001005005011,予習、体験、理解。一番わかりやすいＰｙｔｈｏｎの入門書。到達度がわかる練習問題付き。
001005017,
001005005011/001005017/001016011004,最新の傾向を反映して大幅改訂！手を動かして身につける本質的理解、試験対策力、実用スキル。解説付き予想問題、サンプル問題収録！
001005017,
001012010002,
001005005011/001006018002,どんな現場のデータでも軽くこなせる！データの基本を学び、様々な特徴のデータを練習すれば、どんなデータが来ても怖くない！システムデータの加工・可視化から、機械学習の前処理まで。Ｅｘｃｅｌ・時系列・言語・画像・音データ・特殊な加工・可視化。ビジネス現場で即戦力になれる「基礎力」を身につけよう！
001005005001/001005005011/001005017,前処理・学習・性能評価の流れはもちろん、各種手法、統計の基礎も少しずつ＆ていねいに。だから→現場で必須の知識がスッキリ身に付く！ｐａｎｄａｓ×ｓｃｉｋｉｔ-ｌｅａｒｎを徹底活用！
001005005011/001005017/001012010001,Ｗｅｂ情報を自動で巡回・収集するクローラー開発ができます。ＩＴエンジニアにもお勧めです。Ｗｅｂデータの収集と生成はスクレイピングで！定型業務の自動化・時短・コスト削減はクローリングで！収集技術や解析技法を基礎から解説。３２種のサイトの解析とトラブル対策がわかる！！
001005017/001012010001,「Ｆｌａｓｋ」は、「コンパクトで学習コストが低い」「手軽かつスピーディに『Ｗｅｂアプリ』が作れる」「拡張性に優れている」といった特徴をもち、小規模で簡単な「Ｗｅｂアプリ」を作るのに適した「Ｗｅｂフレームワーク」。本書は、「Ｆｌａｓｋ」のセットアップの仕方といった基本的な説明からはじまり、「Ｆｌａｓｋ」での「Ｗｅｂアプリ」の作り方を、実際に「写真整理用のアルバムアプリ」を作りながら解説。
001005017,
001005005011/001005017,ＧｏｏｇｌｅでＰｙｔｈｏｎを使ったさまざまなサービスを立ち上げ、Ｐｙｔｈｏｎを知り尽くした著者による、Ｐｙｔｈｏｎエキスパート必携書の改訂版です。第２版ではＰｙｔｈｏｎ３．８に対応、データ構造、内包表記とジェネレータ、性能、デバッグについての章を新たに追加するなど、第１版の５９項目を大幅に改訂し、９０項目にわたってベストプラクティス、ヒント、落とし穴の避け方だけでなく、新機能の使い方などのノウハウを解説します。優れたＰｙｔｈｏｎコードを書くために何をすべきか、何をすべきでないか、なぜこれが良い方法なのかをＰｙｔｈｏｎの流儀に従って解説。効率的で堅牢であるだけでなく、読みやすく、保守しやすく、改善しやすいＰｙｔｈｏｎｉｃなコードを書く秘訣を教えます。強力な機能を備えながらもシンプルで使いやすく、多くの開発者を惹きつけてやまないＰｙｔｈｏｎの魅力と威力を体感できる一冊です。
001012002,現実問題を通じて数理最適化を学ぶ。実務スキルが身につく５つのケーススタディを徹底解説。課題整理→実装→モデル検証の流れを体験しましょう。
001005017,豊富な科学関連、数学関連のライブラリを持つＰｙｔｈｏｎは、多くの科学技術分野で使われています。本書では、ＳｃｉＰｙの使い方とその威力を紹介するだけでなく、実際の科学データとＮｕｍＰｙ、ｐａｎｄａｓ、Ｍａｔｐｌｏｔｌｉｂ、ＩＰｙｔｈｏｎ、Ｊｕｐｙｔｅｒノートブック、ｓｃｉｋｉｔ-ｌｅａｒｎ、ｓｃｉｋｉｔ-ｉｍａｇｅといったライブラリやツールを利用して実際の問題を解決する作業を通じて、数学的計算の基礎となるデータ構造のＮｕｍＰｙ配列を使いこなし、科学技術計算の明確かつ簡潔かつ効率的でエレガントなコードの書き方を学ぶことができます。掲載コードとデータ、環境、ツールはすべて本書のＧｉｔＨｕｂから利用可能です。Ｐｙｔｈｏｎ　３対応。
001005005011/001005011/001005017/001016011004,適切な解説で合格をサポート。受験者必携の公式問題集。協会プラチナ認定の著者陣による執筆、協会監修により厳選された良問集。
001012002,実務で役に立つ最適化問題に対する定式化とＰｙｔｈｏｎを用いた解決法を全３巻で紹介。
001005006003/001005017,Ｅｘｃｅｌ・スプレッドシート操作の自動化、ファイル移動・フォルダ編集、データ集計とグラフ作成、スクレイピング…めんどうな定常業務で消耗する前にその仕事、プログラミング自動化。
